,Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M)
13,7.0875,39270,0.002625,98.175,7.0875,39026.8,0.002625,97.567,7.0875,41458.7,0.002625,103.64675,7.0875,39090.8,0.002625,97.727,7.0875,38887.3,0.002625,97.21825,7.0875,41320.8,0.002625,103.302,136.125,242421,0.050416667,606.0525,136.125,289414,0.050416667,723.535,136.125,325758,0.050416667,814.395,147.375,302120,0.054583333,755.3,147.375,307003,0.054583333,767.5075,147.375,317550,0.054583333,793.875
14,6.075,33657.8,0.00225,84.1445,6.075,33450.5,0.00225,83.62625,6.075,35534.9,0.00225,88.83725,6.075,33478.6,0.00225,83.6965,6.075,33311,0.00225,83.2775,6.075,35396.9,0.00225,88.49225,141.75,243407,0.0525,608.5175,141.75,289581,0.0525,723.9525,141.75,325806,0.0525,814.515,162.375,311278,0.060138889,778.195,162.375,316155,0.060138889,790.3875,162.375,326420,0.060138889,816.05
15,5.0625,28046.1,0.001875,70.11525,5.0625,27874.5,0.001875,69.68625,5.0625,29611.4,0.001875,74.0285,5.0625,27866.8,0.001875,69.667,5.0625,27734.9,0.001875,69.33725,5.0625,29473.4,0.001875,73.6835,143.859,243695,0.053281111,609.2375,143.859,289196,0.053281111,722.99,143.859,325091,0.053281111,812.7275,177.375,318587,0.065694444,796.4675,177.375,323462,0.065694444,808.655,177.375,332908,0.065694444,832.27
16,4.05,22434.6,0.0015,56.0865,4.05,22298.9,0.0015,55.74725,4.05,23688.4,0.0015,59.221,4.05,22255.3,0.0015,55.63825,4.05,22159.3,0.0015,55.39825,4.05,23550.3,0.0015,58.87575,147.023,244011,0.054452963,610.0275,147.023,287360,0.054452963,718.4,145.969,323572,0.054062593,808.93,192.375,324019,0.07125,810.0475,192.375,328880,0.07125,822.2,181.125,333899,0.067083333,834.7475
17,3.0375,16823.6,0.001125,42.059,3.0375,16723.6,0.001125,41.809,3.0375,17765.7,0.001125,44.41425,3.0375,16644.2,0.001125,41.6105,3.0375,16584,0.001125,41.46,3.0375,17627.6,0.001125,44.069,151.77,244171,0.056211111,610.4275,148.21,286341,0.054892593,715.8525,148.078,321147,0.054843704,802.8675,193.313,324303,0.071597407,810.7575,196.125,329962,0.072638889,824.905,186.75,334036,0.069166667,835.09
18,2.025,11212.8,0.00075,28.032,2.025,11148.7,0.00075,27.87175,2.025,11843.4,0.00075,29.6085,2.025,11033.4,0.00075,27.5835,2.025,11009,0.00075,27.5225,2.025,11705.3,0.00075,29.26325,158.889,242340,0.058847778,605.85,149.99,284331,0.055551852,710.8275,151.242,315347,0.056015556,788.3675,194.719,324704,0.072118148,811.76,201.75,331341,0.074722222,828.3525,188.859,333490,0.069947778,833.725
19,1.0125,5602.52,0.000375,14.0063,1.0125,5574.16,0.000375,13.9354,1.0125,5921.5,0.000375,14.80375,1.0125,5423.07,0.000375,13.557675,1.0125,5434.43,0.000375,13.586075,1.0125,5783.35,0.000375,14.458375,161.558,240522,0.059836296,601.305,152.659,279708,0.05654037,699.27,152.429,312633,0.056455185,781.5825,196.828,325237,0.072899259,813.0925,210.188,332889,0.077847407,832.2225,192.023,331497,0.07111963,828.7425
20,-2.89E-15,-7.45259,-1.07E-18,-0.018631475,-2.89E-15,0.0116028,-1.07E-18,2.90E-05,-2.89E-15,0.0122681,-1.07E-18,3.07E-05,-2.89E-15,-186.898,-1.07E-18,-0.467245,-2.89E-15,-139.78,-1.07E-18,-0.34945,-2.89E-15,-138.218,-1.07E-18,-0.345545,164.228,238054,0.060825185,595.135,153.661,277708,0.056911481,694.27,154.208,307672,0.057114074,769.18,199.992,325826,0.074071111,814.565,222.844,334162,0.082534815,835.405,196.77,325528,0.072877778,813.82
21,-1.0125,-5632.46,-0.000375,-14.08115,-1.0125,-5588.42,-0.000375,-13.97105,-1.0125,-5936.64,-0.000375,-14.8416,-1.0125,-5805.08,-0.000375,-14.5127,-1.0125,-5725.06,-0.000375,-14.31265,-1.0125,-6072.68,-0.000375,-15.1817,166.898,235267,0.061814074,588.1675,155.162,274248,0.057467407,685.62,155.988,302712,0.057773333,756.78,204.738,325550,0.075828889,813.875,226.594,334368,0.083923704,835.92,198.549,322364,0.073536667,805.91
22,-1.77188,-9850.78,-0.000656252,-24.62695,-1.77188,-9779.84,-0.000656252,-24.4496,-2.025,-11873.4,-0.00075,-29.6835,-1.77188,-10019.1,-0.000656252,-25.04775,-1.77188,-9914.16,-0.000656252,-24.7854,-1.77188,-10522.9,-0.000656252,-26.30725,170.902,230509,0.063297037,576.2725,157.415,268821,0.058301852,672.0525,157.768,298210,0.058432593,745.525,206.518,324825,0.076488148,812.0625,232.219,334246,0.086007037,835.615,199.217,320959,0.073784074,802.3975
