,Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M),Disp(mm),Force(N),Rotation,Moment(kN/M)
439,-13.3326,-73980.2,-0.004938,-184.9505,-11.1744,-61657.3,-0.004138667,-154.14325,-2.7,-15815.1,-0.001,-39.53775,-10.4203,-57374.6,-0.00385937,-143.4365,-4.05,-21884.9,-0.0015,-54.71225,-0.368317,-2602.73,-0.000136414,-6.506825,,,,,,,,,,,,,,,,,,,,,,,,
440,-11.9826,-66479.6,-0.004438,-166.199,-9.82441,-54204.7,-0.00363867,-135.51175,-1.35,-7899.28,-0.0005,-19.7482,-9.07031,-49874.2,-0.003359374,-124.6855,-2.7,-14433.6,-0.001,-36.084,-1.12769,-7037.87,-0.000417663,-17.594675,,,,,,,,,,,,,,,,,,,,,,,,
441,-10.6326,-58979.1,-0.003938,-147.44775,-8.47441,-46752.3,-0.00313867,-116.88075,-6.71E-12,15.2985,-2.49E-15,0.03824625,-7.72031,-42374,-0.002859374,-105.935,-1.35,-6984.1,-0.0005,-17.46025,-2.26675,-13708.6,-0.000839537,-34.2715,,,,,,,,,,,,,,,,,,,,,,,,
442,-9.28257,-51478.8,-0.003437989,-128.697,-7.12441,-39300,-0.00263867,-98.25,1.35,7909.07,0.0005,19.772675,-6.37031,-34874,-0.002359374,-87.185,-6.71E-12,458.591,-2.49E-15,1.1464775,-3.61675,-21609.5,-0.001339537,-54.02375,,,,,,,,,,,,,,,,,,,,,,,,
443,-7.93257,-43978.5,-0.002937989,-109.94625,-5.77441,-31847.9,-0.00213867,-79.61975,2.7,15805.2,0.001,39.513,-5.02031,-27374.2,-0.001859374,-68.4355,1.35,7868.26,0.0005,19.67065,-4.96675,-29488.9,-0.001839537,-73.72225,,,,,,,,,,,,,,,,,,,,,,,,
444,-6.58257,-36478.5,-0.002437989,-91.19625,-4.42441,-24395.9,-0.00163867,-60.98975,4.05,23702.1,0.0015,59.25525,-3.67031,-19874.8,-0.001359374,-49.687,2.7,15288.5,0.001,38.22125,-6.31675,-37338.4,-0.002339537,-93.346,,,,,,,,,,,,,,,,,,,,,,,,
445,-5.23257,-28978.5,-0.001937989,-72.44625,-3.07441,-16944.1,-0.00113867,-42.36025,5.4,31599.6,0.002,78.999,-2.32031,-12375.8,-0.000859374,-30.9395,4.05,22696.5,0.0015,56.74125,-7.66675,-45164.9,-0.002839537,-112.91225,,,,,,,,,,,,,,,,,,,,,,,,
446,-3.88257,-21478.8,-0.001437989,-53.697,-1.72441,-9492.54,-0.00063867,-23.73135,6.75,39497.8,0.0025,98.7445,-0.970313,-4881.37,-0.000359375,-12.203425,5.4,30079.5,0.002,75.19875,-9.01675,-52968,-0.003339537,-132.42,,,,,,,,,,,,,,,,,,,,,,,,
447,-2.53257,-13979.2,-0.000937989,-34.948,-0.374414,-2041.14,-0.000138672,-5.10285,8.1,47396.7,0.003,118.49175,0.379688,2599.23,0.000140625,6.498075,6.75,37436.3,0.0025,93.59075,-10.3668,-60744.3,-0.003839556,-151.86075,,,,,,,,,,,,,,,,,,,,,,,,
448,-1.18257,-6479.83,-0.000437989,-16.199575,0.975586,5392.06,0.000361328,13.48015,9.45,55296.2,0.0035,138.2405,1.72969,10056.5,0.000640626,25.14125,8.1,44767.7,0.003,111.91925,-11.7168,-68500.2,-0.004339556,-171.2505,,,,,,,,,,,,,,,,,,,,,,,,
449,0.167432,1011.53,6.20E-05,2.528825,2.32559,12824.8,0.00086133,32.062,10.8,63196.3,0.004,157.99075,3.07969,17517.9,0.001140626,43.79475,9.45,52075.4,0.0035,130.1885,-13.0668,-76217.8,-0.004839556,-190.5445,,,,,,,,,,,,,,,,,,,,,,,,
450,1.51743,8485.39,0.000562011,21.213475,3.67559,20258.2,0.00136133,50.6455,12.15,71093.8,0.0045,177.7345,4.42969,24955,0.001640626,62.3875,10.8,59365.3,0.004,148.41325,-12.5832,-73382.2,-0.004660444,-183.4555,,,,,,,,,,,,,,,,,,,,,,,,
451,2.86743,15965.5,0.001062011,39.91375,5.02559,27692.3,0.00186133,69.23075,13.5,78986,0.005,197.465,5.77969,32365.8,0.002140626,80.9145,12.15,66620.6,0.0045,166.5515,-11.2332,-65465.2,-0.004160444,-163.663,,,,,,,,,,,,,,,,,,,,,,,,
452,4.21743,23442.7,0.001562011,58.60675,6.37559,35127.1,0.00236133,87.81775,12.15,71084.7,0.0045,177.71175,7.12969,39746.7,0.002640626,99.36675,13.5,73836.9,0.005,184.59225,-9.88325,-57548.2,-0.003660463,-143.8705,,,,,,,,,,,,,,,,,,,,,,,,
453,5.56743,30915.2,0.002062011,77.288,7.72559,42562.4,0.00286133,106.406,10.8,63183.9,0.004,157.95975,8.47969,47102.1,0.003140626,117.75525,12.15,66398.9,0.0045,165.99725,-8.53325,-49631.4,-0.003160463,-124.0785,,,,,,,,,,,,,,,,,,,,,,,,
454,6.91743,38385.6,0.002562011,95.964,9.07559,49998.4,0.00336133,124.996,9.45,55283.8,0.0035,138.2095,9.82969,54438.2,0.003640626,136.0955,10.8,58961.4,0.004,147.4035,-7.18325,-41714.7,-0.002660463,-104.28675,,,,,,,,,,,,,,,,,,,,,,,,
455,8.26743,45856.2,0.003062011,114.6405,10.4256,57429.2,0.003861333,143.573,8.1,47384.3,0.003,118.46075,11.1797,61736.1,0.00414063,154.34025,9.45,51524.5,0.0035,128.81125,-5.83325,-33798.2,-0.002160463,-84.4955,,,,,,,,,,,,,,,,,,,,,,,,
456,9.61743,53325.5,0.003562011,133.31375,11.7756,64857.7,0.004361333,162.14425,6.75,39485.4,0.0025,98.7135,12.5297,68993.1,0.00464063,172.48275,8.1,44088.2,0.003,110.2205,-4.48325,-25882,-0.001660463,-64.705,,,,,,,,,,,,,,,,,,,,,,,,
457,10.9674,60790.4,0.004062,151.976,13.1256,72282.8,0.004861333,180.707,5.4,31587.2,0.002,78.968,13.1203,72151.8,0.00485937,180.3795,6.75,36652.5,0.0025,91.63125,-3.13325,-17966.2,-0.001160463,-44.9155,,,,,,,,,,,,,,,,,,,,,,,,
458,12.3174,68246.9,0.004562,170.61725,12.5244,68970.6,0.004638667,172.4265,4.05,23689.7,0.0015,59.22425,11.7703,64666.2,0.00435937,161.6655,5.4,29217.4,0.002,73.0435,-1.78325,-10050.9,-0.000660463,-25.12725,,,,,,,,,,,,,,,,,,,,,,,,
459,13.3326,73836.8,0.004938,184.592,11.1744,61533.1,0.004138667,153.83275,2.7,15792.8,0.001,39.482,10.4203,57181.1,0.00385937,142.95275,4.05,21782.9,0.0015,54.45725,-0.433246,-2138.83,-0.000160461,-5.347075,,,,,,,,,,,,,,,,,,,,,,,,
460,11.9826,66351.2,0.004438,165.878,9.82441,54096.2,0.00363867,135.2405,1.35,7896.61,0.0005,19.741525,9.07031,49696.6,0.003359374,124.2415,2.7,14349.3,0.001,35.87325,0.916754,5737.94,0.000339539,14.34485,,,,,,,,,,,,,,,,,,,,,,,,
461,10.6326,58866.2,0.003938,147.1655,8.47441,46659.9,0.00313867,116.64975,7.19E-12,1.94808,2.66E-15,0.0048702,7.72031,42212.6,0.002859374,105.5315,1.35,6916.97,0.0005,17.292425,2.26675,13623.2,0.000839537,34.058,,,,,,,,,,,,,,,,,,,,,,,,
462,9.28257,51381.8,0.003437989,128.4545,7.12441,39224.2,0.00263867,98.0605,-1.0125,-5933.76,-0.000375,-14.8344,6.37031,34729.3,0.002359374,86.82325,7.19E-12,-511.895,2.66E-15,-1.2797375,3.61675,21506.2,0.001339537,53.7655,,,,,,,,,,,,,,,,,,,,,,,,
463,7.93257,43898,0.002937989,109.745,5.77441,31789.2,0.00213867,79.473,-2.025,-11870.6,-0.00075,-29.6765,5.02031,27246.6,0.001859374,68.1165,-1.35,-7929.31,-0.0005,-19.823275,4.96675,29371.7,0.001839537,73.42925,,,,,,,,,,,,,,,,,,,,,,,,
464,6.58257,36414.8,0.002437989,91.037,4.42441,24354.7,0.00163867,60.88675,-3.375,-19786.5,-0.00125,-49.46625,3.67031,19764.6,0.001359374,49.4115,-2.7,-15368.3,-0.001,-38.42075,6.31675,37209.6,0.002339537,93.024,,,,,,,,,,,,,,,,,,,,,,,,
465,5.23257,28932.2,0.001937989,72.3305,3.07441,16920.9,0.00113867,42.30225,-4.725,-27702.7,-0.00175,-69.25675,2.32031,12283.8,0.000859374,30.7095,-4.05,-22791.7,-0.0015,-56.97925,7.66675,45019.1,0.002839537,112.54775,,,,,,,,,,,,,,,,,,,,,,,,
466,3.88257,21450.2,0.001437989,53.6255,1.72441,9487.68,0.00063867,23.7192,-6.075,-35619.1,-0.00225,-89.04775,0.970313,4804.08,0.000359375,12.0102,-5.4,-30186.7,-0.002,-75.46675,9.01675,52800.5,0.003339537,132.00125,,,,,,,,,,,,,,,,,,,,,,,,
467,2.53257,13968.9,0.000937989,34.92225,0.374414,2055.33,0.000138672,5.138325,-7.425,-43535.6,-0.00275,-108.839,-0.379688,-2664.31,-0.000140625,-6.660775,-6.75,-37559.9,-0.0025,-93.89975,10.3668,60556.8,0.003839556,151.392,,,,,,,,,,,,,,,,,,,,,,,,
468,1.18257,6488.55,0.000437989,16.221375,-0.975586,-5389.07,-0.000361328,-13.472675,-8.775,-51452.3,-0.00325,-128.63075,-1.72969,-10134.8,-0.000640626,-25.337,-8.1,-44912.3,-0.003,-112.28075,11.7168,68293.8,0.004339556,170.7345,,,,,,,,,,,,,,,,,,,,,,,,
469,-0.167432,-990.185,-6.20E-05,-2.4754625,-2.32559,-12840.6,-0.00086133,-32.1015,-10.125,-59369.1,-0.00375,-148.42275,-3.07969,-17613.4,-0.001140626,-44.0335,-9.45,-52239.9,-0.0035,-130.59975,13.0668,75990.1,0.004839556,189.97525,,,,,,,,,,,,,,,,,,,,,,,,
470,-1.51743,-8489.25,-0.000562011,-21.223125,-3.67559,-20292.2,-0.00136133,-50.7305,-11.475,-67286.1,-0.00425,-168.21525,-4.42969,-25063.5,-0.001640626,-62.65875,-10.8,-59547.8,-0.004,-148.8695,12.5832,73160.1,0.004660444,182.90025,,,,,,,,,,,,,,,,,,,,,,,,
471,-2.86743,-15988.6,-0.001062011,-39.9715,-5.02559,-27744.1,-0.00186133,-69.36025,-12.825,-75196.4,-0.00475,-187.991,-5.77969,-32488.3,-0.002140626,-81.22075,-12.15,-66822.2,-0.0045,-167.0555,11.2332,65259,0.004160444,163.1475,,,,,,,,,,,,,,,,,,,,,,,,
472,-4.21743,-23488.2,-0.001562011,-58.7205,-6.37559,-35196.1,-0.00236133,-87.99025,-12.825,-75196.4,-0.00475,-187.991,-7.12969,-39890.3,-0.002640626,-99.72575,-13.5,-74058.6,-0.005,-185.1465,9.88325,57358.5,0.003660463,143.39625,,,,,,,,,,,,,,,,,,,,,,,,
473,-5.56743,-30981.4,-0.002062011,-77.4535,-7.72559,-42648.3,-0.00286133,-106.62075,-11.475,-67279.3,-0.00425,-168.19825,-8.47969,-47266.5,-0.003140626,-118.16625,-12.15,-66605.8,-0.0045,-166.5145,8.53325,49458.7,0.003160463,123.64675,,,,,,,,,,,,,,,,,,,,,,,,
474,-6.91743,-38467.1,-0.002562011,-96.16775,-9.07559,-50100.7,-0.00336133,-125.25175,-10.125,-59362.3,-0.00375,-148.40575,-9.82969,-54620.7,-0.003640626,-136.55175,-10.8,-59153.2,-0.004,-147.883,7.18325,41559.5,0.002660463,103.89875,,,,,,,,,,,,,,,,,,,,,,,,
475,-8.26743,-45951.9,-0.003062011,-114.87975,-10.4256,-57548.3,-0.003861333,-143.87075,-8.775,-51445.5,-0.00325,-128.61375,-11.1797,-61938.3,-0.00414063,-154.84575,-9.45,-51700.6,-0.0035,-129.2515,5.83325,33660.9,0.002160463,84.15225,,,,,,,,,,,,,,,,,,,,,,,,
476,-9.61743,-53435.1,-0.003562011,-133.58775,-11.7756,-64991.6,-0.004361333,-162.479,-7.425,-43528.8,-0.00275,-108.822,-12.5297,-69215.8,-0.00464063,-173.0395,-8.1,-44248.2,-0.003,-110.6205,4.48325,25763,0.001660463,64.4075,,,,,,,,,,,,,,,,,,,,,,,,
477,-10.9674,-60912.2,-0.004062,-152.2805,-13.1256,-72428.5,-0.004861333,-181.07125,-6.075,-35612.3,-0.00225,-89.03075,-13.1203,-72383.1,-0.00485937,-180.95775,-6.75,-36796,-0.0025,-91.99,3.13325,17865.9,0.001160463,44.66475,,,,,,,,,,,,,,,,,,,,,,,,
478,-12.3174,-68381.1,-0.004562,-170.95275,-12.5244,-69109.7,-0.004638667,-172.77425,-4.725,-27695.9,-0.00175,-69.23975,-11.7703,-64882.5,-0.00435937,-162.20625,-5.4,-29344,-0.002,-73.36,1.78325,9970,0.000660463,24.925,,,,,,,,,,,,,,,,,,,,,,,,
479,-13.3326,-73980,-0.004938,-184.95,-11.1744,-61657,-0.004138667,-154.1425,-3.375,-19779.8,-0.00125,-49.4495,-10.4203,-57382,-0.00385937,-143.455,-4.05,-21892.3,-0.0015,-54.73075,0.433246,2075.4,0.000160461,5.1885,,,,,,,,,,,,,,,,,,,,,,,,
480,-11.9826,-66479.4,-0.004438,-166.1985,-9.82441,-54204.4,-0.00363867,-135.511,-2.025,-11863.8,-0.00075,-29.6595,-9.07031,-49881.6,-0.003359374,-124.704,-2.7,-14441,-0.001,-36.1025,0.0957458,102.494,3.55E-05,0.256235,,,,,,,,,,,,,,,,,,,,,,,,
481,-10.6326,-58978.9,-0.003938,-147.44725,-8.47441,-46752,-0.00313867,-116.88,-0.675,-3948.05,-0.00025,-9.870125,-7.72031,-42381.4,-0.002859374,-105.9535,-1.35,-6990.99,-0.0005,-17.477475,-0.410504,-2850.22,-0.000152039,-7.12555,,,,,,,,,,,,,,,,,,,,,,,,
482,-9.28257,-51478.5,-0.003437989,-128.69625,-7.12441,-39299.7,-0.00263867,-98.24925,1.0125,5928.77,0.000375,14.821925,-6.37031,-34881.4,-0.002359374,-87.2035,-7.79E-12,451.826,-2.89E-15,1.129565,-1.16988,-7286.1,-0.000433289,-18.21525,,,,,,,,,,,,,,,,,,,,,,,,
483,-7.93257,-43978.3,-0.002937989,-109.94575,-5.77441,-31847.6,-0.00213867,-79.619,3.0375,17773,0.001125,44.4325,-5.02031,-27381.6,-0.001859374,-68.454,2.025,11570.8,0.00075,28.927,-1.92925,-11733.5,-0.000714537,-29.33375,,,,,,,,,,,,,,,,,,,,,,,,
484,-6.58257,-36478.2,-0.002437989,-91.1955,-4.42441,-24395.6,-0.00163867,-60.989,5.0625,29618.8,0.001875,74.047,-3.67031,-19882.3,-0.001359374,-49.70575,4.05,22691.5,0.0015,56.72875,-3.06832,-18402.3,-0.001136415,-46.00575,,,,,,,,,,,,,,,,,,,,,,,,
485,-5.23257,-28978.2,-0.001937989,-72.4455,-3.07441,-16943.8,-0.00113867,-42.3595,7.0875,41466.2,0.002625,103.6655,-2.32031,-12383.3,-0.000859374,-30.95825,6.075,33759.2,0.00225,84.398,-4.41832,-26294.7,-0.001636415,-65.73675,,,,,,,,,,,,,,,,,,,,,,,,
486,-3.88257,-21478.5,-0.001437989,-53.69625,-1.72441,-9492.19,-0.00063867,-23.730475,9.1125,53315,0.003375,133.2875,-0.970313,-4887.84,-0.000359375,-12.2196,8.1,44768.3,0.003,111.92075,-5.76832,-34157.2,-0.002136415,-85.393,,,,,,,,,,,,,,,,,,,,,,,,
487,-2.53257,-13978.9,-0.000937989,-34.94725,-0.374414,-2040.79,-0.000138672,-5.101975,11.1375,65165.2,0.004125,162.913,0.569531,3638.54,0.000210937,9.09635,10.125,55724.5,0.00375,139.31125,-7.11832,-41993.9,-0.002636415,-104.98475,,,,,,,,,,,,,,,,,,,,,,,,
488,-1.18257,-6479.53,-0.000437989,-16.198825,1.46338,8077.65,0.000541993,20.194125,13.1625,77012.2,0.004875,192.5305,2.59453,14831.3,0.000960937,37.07825,12.15,66624.2,0.0045,166.5605,-8.46832,-49807,-0.003136415,-124.5175,,,,,,,,,,,,,,,,,,,,,,,,
489,0.251147,1473.98,9.30E-05,3.68495,3.48838,19227.5,0.001291993,48.06875,15.1875,88839.5,0.005625,222.09875,4.61953,25995.6,0.001710937,64.989,14.175,77421.9,0.00525,193.55475,-9.81832,-57594.6,-0.003636415,-143.9865,,,,,,,,,,,,,,,,,,,,,,,,
490,2.27615,12688.9,0.000843019,31.72225,5.51338,30378.7,0.002041993,75.94675,17.2125,100658,0.006375,251.645,6.64453,37097.7,0.002460937,92.74425,16.2,87953.5,0.006,219.88375,-11.1683,-65358.1,-0.004136407,-163.39525,,,,,,,,,,,,,,,,,,,,,,,,
491,4.30115,23906.2,0.001593019,59.7655,7.53838,41531.4,0.002791993,103.8285,19.2375,112417,0.007125,281.0425,8.66953,48136.9,0.003210937,120.34225,18.225,97627.1,0.00675,244.06775,-12.5183,-73094.9,-0.004636407,-182.73725,,,,,,,,,,,,,,,,,,,,,,,,
492,6.32615,35113.7,0.002343019,87.78425,9.56338,52683.5,0.003541993,131.70875,19.2375,112417,0.007125,281.0425,10.6945,59122.5,0.003960926,147.80625,20.25,105984,0.0075,264.96,-13.1317,-76593.1,-0.004863593,-191.48275,,,,,,,,,,,,,,,,,,,,,,,,
493,8.35115,46319.6,0.003093019,115.799,11.5884,63828.4,0.004292,159.571,17.2125,100561,0.006375,251.4025,12.7195,70014.7,0.004710926,175.03675,18.225,94822.3,0.00675,237.05575,-11.7817,-68676,-0.004363593,-171.69,,,,,,,,,,,,,,,,,,,,,,,,
494,10.3761,57522,0.003843,143.805,13.6134,74966,0.005042,187.415,15.1875,88706.8,0.005625,221.767,14.7445,80714.7,0.005460926,201.78675,16.2,83661.4,0.006,209.1535,-10.4317,-60759,-0.003863593,-151.8975,,,,,,,,,,,,,,,,,,,,,,,,
495,12.4011,68708.6,0.004593,171.7715,15.6384,86092.5,0.005792,215.23125,13.1625,76853.8,0.004875,192.1345,16.7695,90686.3,0.006210926,226.71575,14.175,72501.7,0.00525,181.25425,-9.08168,-52842.1,-0.003363585,-132.10525,,,,,,,,,,,,,,,,,,,,,,,,
496,14.4261,79806.7,0.005343,199.51675,17.6634,97176.8,0.006542,242.942,11.1375,65002.1,0.004125,162.50525,18.7945,99263.6,0.006960926,248.159,12.15,61343.2,0.0045,153.358,-7.73168,-44925.3,-0.002863585,-112.31325,,,,,,,,,,,,,,,,,,,,,,,,
497,16.4511,90784.1,0.006093,226.96025,19.6884,108135,0.007292,270.3375,9.1125,53151.7,0.003375,132.87925,19.6805,102663,0.007289074,256.6575,10.125,50186,0.00375,125.465,-6.38168,-37008.8,-0.002363585,-92.522,,,,,,,,,,,,,,,,,,,,,,,,
498,18.4761,101647,0.006843,254.1175,18.7866,103165,0.006958,257.9125,7.0875,41302.9,0.002625,103.25725,17.6555,91429.6,0.006539074,228.574,8.1,39030,0.003,97.575,-5.03168,-29092.5,-0.001863585,-72.73125,,,,,,,,,,,,,,,,,,,,,,,,
499,19.9989,109715,0.007407,274.2875,16.7616,92005.3,0.006208,230.01325,5.0625,29455.4,0.001875,73.6385,15.6305,80197.4,0.005789074,200.4935,6.075,27878.7,0.00225,69.69675,-3.68168,-21176.6,-0.001363585,-52.9415,,,,,,,,,,,,,,,,,,,,,,,,
500,17.9739,98482.5,0.006657,246.20625,14.7366,80846.5,0.005458,202.11625,3.0375,17609.5,0.001125,44.02375,13.6055,68966.4,0.005039074,172.416,4.05,16738.1,0.0015,41.84525,-2.33168,-13261.1,-0.000863585,-33.15275,,,,,,,,,,,,,,,,,,,,,,,,
501,15.9489,87251,0.005907,218.1275,12.7116,69688.9,0.004708,174.22225,1.0125,5765.16,0.000375,14.4129,11.5805,57736.6,0.004289074,144.3415,2.025,5637.03,0.00075,14.092575,-0.981683,-5346.48,-0.000363586,-13.3662,,,,,,,,,,,,,,,,,,,,,,,,
502,13.9239,76020.6,0.005157,190.0515,10.6866,58532.6,0.003958,146.3315,-1.0125,-6094.26,-0.000375,-15.23565,9.55547,46508.1,0.003539063,116.27025,1.26E-11,-5403.5,4.66E-15,-13.50875,0.552475,3620.81,0.00020462,9.052025,,,,,,,,,,,,,,,,,,,,,,,,
503,11.8989,64791.5,0.004407,161.97875,8.66162,47377.6,0.003208007,118.444,-3.0375,-17967.9,-0.001125,-44.91975,7.53047,35281,0.002789063,88.2025,-0.50625,-8156.89,-0.0001875,-20.392225,2.57748,15442.9,0.000954622,38.60725,,,,,,,,,,,,,,,,,,,,,,,,
504,9.87385,53563.7,0.003656981,133.90925,6.63662,36223.9,0.002458007,90.55975,-5.0625,-29842.2,-0.001875,-74.6055,5.50547,24061.6,0.002039063,60.154,-1.26563,-12271.9,-0.000468752,-30.67975,4.60248,27258.3,0.001704622,68.14575,,,,,,,,,,,,,,,,,,,,,,,,
505,7.84885,42337.1,0.002906981,105.84275,4.61162,25071.6,0.001708007,62.679,-7.0875,-41713.6,-0.002625,-104.284,3.48047,12858.8,0.001289063,32.147,-2.40469,-18430.4,-0.000890626,-46.076,6.62747,39016.6,0.002454619,97.5415,,,,,,,,,,,,,,,,,,,,,,,,
506,5.82385,31112,0.002156981,77.78,2.58662,13920.7,0.000958007,34.80175,-9.1125,-53566.6,-0.003375,-133.9165,1.45547,1717.11,0.000539063,4.292775,-4.11328,-27667.9,-0.001523437,-69.16975,8.65248,50710.5,0.003204622,126.77625,,,,,,,,,,,,,,,,,,,,,,,,
507,3.79885,19888.2,0.001406981,49.7205,0.561621,2771.19,0.000208008,6.927975,-11.1375,-65407,-0.004125,-163.5175,-0.569531,-9367.46,-0.000210937,-23.41865,-6.13828,-38583.1,-0.002273437,-96.45775,10.6775,62346.3,0.00395463,155.86575,,,,,,,,,,,,,,,,,,,,,,,,
508,1.77385,8666.46,0.000656981,21.66615,-1.46338,-8393.3,-0.000541993,-20.98325,-13.1625,-77246.4,-0.004875,-193.116,-2.59453,-20370.6,-0.000960937,-50.9265,-8.16328,-49411.7,-0.003023437,-123.52925,12.7025,73924.3,0.00470463,184.81075,,,,,,,,,,,,,,,,,,,,,,,,
509,-0.251147,-2539.99,-9.30E-05,-6.349975,-3.48838,-19570.7,-0.001291993,-48.92675,-15.1875,-89077.4,-0.005625,-222.6935,-4.61953,-31356.7,-0.001710937,-78.39175,-10.1883,-60117.6,-0.003773444,-150.294,14.7275,85362.5,0.00545463,213.40625,,,,,,,,,,,,,,,,,,,,,,,,
510,-2.27615,-13740.3,-0.000843019,-34.35075,-5.51338,-30738.9,-0.002041993,-76.84725,-17.2125,-100878,-0.006375,-252.195,-6.64453,-42282.1,-0.002460937,-105.70525,-12.2133,-70634.4,-0.004523444,-176.586,16.7525,96467,0.00620463,241.1675,,,,,,,,,,,,,,,,,,,,,,,,
511,-4.30115,-24959.9,-0.001593019,-62.39975,-7.53838,-41895.6,-0.002791993,-104.739,-19.2375,-112626,-0.007125,-281.565,-8.66953,-53079.4,-0.003210937,-132.6985,-14.2383,-80713.6,-0.005273444,-201.784,18.7775,106556,0.00695463,266.39,,,,,,,,,,,,,,,,,,,,,,,,
512,-6.32615,-36151.4,-0.002343019,-90.3785,-9.56338,-53044.3,-0.003541993,-132.61075,-19.2375,-112626,-0.007125,-281.565,-10.6945,-63683.1,-0.003960926,-159.20775,-16.2633,-90117.2,-0.006023444,-225.293,19.6975,110654,0.00729537,276.635,,,,,,,,,,,,,,,,,,,,,,,,
513,-8.35115,-47268.3,-0.003093019,-118.17075,-11.5884,-64182.8,-0.004292,-160.457,-17.2125,-100750,-0.006375,-251.875,-12.7195,-73832.9,-0.004710926,-184.58225,-18.2883,-98783.1,-0.006773444,-246.95775,17.6725,98796.8,0.00654537,246.992,,,,,,,,,,,,,,,,,,,,,,,,
514,-10.3761,-58325.3,-0.003843,-145.81325,-13.6134,-75307.8,-0.005042,-188.2695,-15.1875,-88873.7,-0.005625,-222.18425,-14.7445,-83262.1,-0.005460926,-208.15525,-20.1867,-106358,-0.007476556,-265.895,15.6475,86940.9,0.00579537,217.35225,,,,,,,,,,,,,,,,,,,,,,,,
515,-12.4011,-69333.2,-0.004593,-173.333,-15.6384,-86391.1,-0.005792,-215.97775,-13.1625,-76997.9,-0.004875,-192.49475,-16.7695,-91914.7,-0.006210926,-229.78675,-18.1617,-95178.1,-0.006726556,-237.94525,13.6225,75086.2,0.00504537,187.7155,,,,,,,,,,,,,,,,,,,,,,,,
516,-14.4261,-80282.9,-0.005343,-200.70725,-17.6634,-97412.8,-0.006542,-243.532,-11.1375,-65122.3,-0.004125,-162.80575,-18.7945,-99954.2,-0.006960926,-249.8855,-16.1367,-83998.5,-0.005976556,-209.99625,11.5975,63232.8,0.00429537,158.082,,,,,,,,,,,,,,,,,,,,,,,,
517,-16.4511,-91165.1,-0.006093,-227.91275,-19.6884,-108377,-0.007292,-270.9425,-9.1125,-53247,-0.003375,-133.1175,-19.6805,-103297,-0.007289074,-258.2425,-14.1117,-72819,-0.005226556,-182.0475,9.57253,51380.7,0.003545381,128.45175,,,,,,,,,,,,,,,,,,,,,,,,
518,-18.4761,-101983,-0.006843,-254.9575,-18.7866,-103399,-0.006958,-258.4975,-7.0875,-41372.1,-0.002625,-103.43025,-17.6555,-92045.3,-0.006539074,-230.11325,-12.0867,-61640,-0.004476556,-154.1,7.54752,39530,0.002795378,98.825,,,,,,,,,,,,,,,,,,,,,,,,
519,-19.9989,-110054,-0.007407,-275.135,-16.7616,-92219.2,-0.006208,-230.548,-5.0625,-29497.5,-0.001875,-73.74375,-15.6305,-80793.8,-0.005789074,-201.9845,-10.0617,-50461.3,-0.003726556,-126.15325,5.52252,27683.7,0.002045378,69.20925,,,,,,,,,,,,,,,,,,,,,,,,
520,-17.9739,-98802.3,-0.006657,-247.00575,-14.7366,-81039.9,-0.005458,-202.59975,-3.0375,-17623.5,-0.001125,-44.05875,-13.6055,-69542.6,-0.005039074,-173.8565,-8.03672,-39283.2,-0.002976563,-98.208,3.49752,15848.4,0.001295378,39.621,,,,,,,,,,,,,,,,,,,,,,,,
521,-15.9489,-87551.2,-0.005907,-218.878,-12.7116,-69860.8,-0.004708,-174.652,-1.0125,-5750.45,-0.000375,-14.376125,-11.5805,-58291.7,-0.004289074,-145.72925,-6.01172,-28113.6,-0.002226563,-70.284,1.47253,4049.86,0.000545381,10.12465,,,,,,,,,,,,,,,,,,,,,,,,
522,-13.9239,-76300.2,-0.005157,-190.7505,-10.6866,-58681.9,-0.003958,-146.70475,1.0125,6091.19,0.000375,15.227975,-9.55547,-47041.3,-0.003539063,-117.60325,-3.98672,-16949.4,-0.001476563,-42.3735,-0.552475,-7681.81,-0.00020462,-19.204525,,,,,,,,,,,,,,,,,,,,,,,,
523,-11.8989,-65049.4,-0.004407,-162.6235,-8.66162,-47503.2,-0.003208007,-118.758,3.0375,17934.2,0.001125,44.8355,-7.53047,-35792.8,-0.002789063,-89.482,-1.96172,-5807.6,-0.000726563,-14.519,-1.05872,-10600.7,-0.000392119,-26.50175,,,,,,,,,,,,,,,,,,,,,,,,
524,-9.87385,-53798.8,-0.003656981,-134.497,-6.63662,-36325,-0.002458007,-90.8125,5.0625,29779.9,0.001875,74.44975,-5.50547,-24553.1,-0.002039063,-61.38275,0.0632813,5271.74,2.34E-05,13.17935,-1.8181,-14971.5,-0.00067337,-37.42875,,,,,,,,,,,,,,,,,,,,,,,,
